Name & Info ,City ,Gender ,Age ,Beds ,Note,Intake Info,Services,Categorie
,,,,,,,,
Penny's Place,Abbotsford,Women,19+,-,,24 hours Phone screening at intake,none,24 Hour
,,,,,,,,
 236-668-2590,,,,,,,,
Older Adults Shelter,Abbotsford,Any gender,50+,-,Call for intake - 9am-5pm,Call between 9am and 5pm for screening and intake.,none,24 Hour
(Sparrow Community,,,,,,,,
Care Society),,,,,,,,
 address hidden,,,,,,,,
 604-991-6937,,,,,,,,
Cyrus Centre,Abbotsford,Any gender,Dec-24,Any: 4,"4Y(12-18), 2FY(19-24), 1MY(19-",24 hr,none,24 Hour
Abbotsford,,,,Men: 1,24),,,
 2616 Ware Street,,,,Women: 2,,,,
 604-859-5773,,,,Updated: about 9 hours ago,,,,
Lonzo Shelter a.k.a.,Abbotsford,Any gender,19+,Full,,open 24 hrs but intake is between 8 am and 9 pm daily; preferable to call to confirm bed availability,,24 Hour
Riverside,,,,Updated: about 1 hour ago,,,,
 34520 Lonzo Road,,,,,,,,
 604-776-2424,,,,,,,,
Sumas Shelter,Abbotsford,Any gender,19+,-,Any community service provider can contact the shelter directly to refer clients.,Intake by referral only between 9am-5pm.,,24 Hour
 1821 Sumas Way,,,,,,,,
 604-334-4911,,,,,,,,
The Nest - Cedar,Abbotsford,Women,19+,-,By referral only. Can contact,Open 8:00pm - 8:00am.,,Seasonal
Outreach Society  34561 Delair Rd.,,,,,Cedar Outreach Team for intake,Transportation available 8:00pm10pm. Operating nightly until June 30th.,,
 604-835-5225,,,,,8am-4pm daily. (604-835-5225),,,
Centre Of Hope Abbotsford Shelter,Abbotsford,Any gender,19+,Full,,The shelter opens at 3:30 pm and closes at 8 am; check for space,,24 Hour
 34081 Gladys Avenue,,,,Updated: about 1 hour ago,,availability with Case,,
 604-852-9305,,,,,,Management or Outreach worker from 9:30 am to 3:30 pm Monday to Friday,,
Douglas Shelter,Burnaby,Any gender,19+,Full,,24hr. Intakes between 10am-,,24 Hour
Progressive Housing,,,,Updated: about 9 hours ago,,10pm. Please call for availability.,,
Society Shelter,,,,,,,,
 2294 Douglas Road,,,,,,,,
 604-522-9669,,,,,,,,
Brigadier Arthur,Chilliwack,Women,19+,Full,,24 hr,,24 Hour
Cartmell House,,,,Updated: about 9 hours ago,,,,
 45746 Yale Road,,,,,,,,
 604-792-4486,,,,,,,,
Cyrus Centre,Chilliwack,Any gender,13 - 24,Any: 7,"4Y(13-19), 3Y(19-24)",24 hr,,24 Hour
Chilliwack,,,,Updated: about 9 hours ago,,,,
 45845 Wellington,,,,,,,,
Avenue,,,,,,,,
 ,,,,,,,,
ReVive Shelter,Chilliwack,Any gender,19+,-,No holds over the phone.,24hr. Please call for availability.,,24 Hour
 46130 Margret,,,,,,,,
Avenue,,,,,,,,
 604-795-2322,,,,,,,,
PathWays Shelter,Chilliwack,Any gender,19+,Full,,Open 9:30pm-7:30am. No intakes after 11pm.,,Lineup
 46130 Margaret,,,,Updated: about 9 hours ago,,,,
Avenue,,,,,,,,
 604-795-2322,,,,,,,,
Name & Info ,City ,Gender ,Age ,Beds ,Note,Intake Info,Services,Categorie
,,/Families,Range,Available,,,,
House of Hope -,Chilliwack,Men,19+,Full,,24 hrs. Men's shelter but may have single rooms to accommodate co-ed couple.,,24 Hour
Salvation Army,,,,Updated: about 1 hour ago,,,,
Chilliwack,,,,,,,,
 45746 Yale Road,,,,,,,,
 604-392-8510,,,,,,,,
3030 Shelter,Coquitlam,Any gender,19+,-,,Contact shelter directly to be put on waiting list. Minimum stay is 90 days.,,24 Hour
 3030 Gordon Avenue,,,,,,,,
 604-474-0435,,,,,,,,
House of Hope,Hope,Any gender,19+,-,,"First come, first serve. No intakes past 8pm.",none,24 Hour
Shelter,,,,,,,,
 650 Old Hope,,,,,,,,
Princeton Highway,,,,,,,,
 604-869-7574,,,,,,,,
Gateway Of Hope -,Langley,Any gender,19+,Full,,24 hr; curfew 10 pm.,,24 Hour
Emergency Shelter,,,,Updated: about 1 hour ago,,,,
 5787 Langley Bypass,,,,,,,,
 604-514-7375,,,,,,,,
Gateway of Hope -,Langley,Any gender,19+,Any: 30,Call after 10pm to check for available spots,"Curfew at 10pm, intake at",,Lineup
Relief Shelter,,,,Updated: about 9 hours ago,,10:15pm,,
 5787 Langley Bypass,,,,,,,,
 604-514-7375,,,,,,,,
Salvation Army Ridge,Maple Ridge,Any gender,19+,Full,,Intake for Shelter from 1:00PM5:00AM on a first-come firstserve basis. May be able to accommodate couples.,,24 Hour
Meadows Ministries,,,,Updated: about 1 hour ago,,,,
 22188 Lougheed Highway,,,,,,,,
 604-463-8296,,,,,,,,
Youth Emergency,Maple Ridge,Any gender,15 - 18,Full,,24 hr. Beds are available on a self-referred basis for up to two weeks at a time; intake is ongoing and preferred by phone ahead of time.,none,24 Hour
Shelter (YES),,,,Updated: about 9 hours ago,,,,
 address hidden,,,,,,,,
 236-335-1926,,,,,,,,
Haven In The Hollow,Mission,Any gender,19+,Full,,24 hr,none,24 Hour
 32646 Logan Avenue,,,,Updated: about 1 hour ago,,,,
 604-820-9008,,,,,,,,
New West/Army &,New,Any gender,19+,-,,Arrive at 8pm to be added to,,24 Hour
Navy Shelter,Westminster,,,,,waitlist. May be able to accommodate couples,,
 502 Columbia Street,,,,,,,,
 604-375-5792,,,,,,,,
Stevenson House For,New,Men,19+,Full,Please no calls before 4pm,Mon-Fri: Call or walk up after 4pm. Sat & Sun: 9am-5pm,none,24 Hour
Men,Westminster,,,Updated: about 1 hour ago,,,,
 32 Elliot Street,,,,,,,,
 604-526-4783,,,,,,,,
Russell Housing,New,Men,19+,Full,,24 hr,none,24 Hour
Centre,Westminster,,,Updated: about 1 hour ago,,,,
 740 Carnarvon Street,,,,,,,,
 604-529-9126,,,,,,,,
Fraserside,New,"Women,",19+,Full,,"24 hr, High Barrier",none,24 Hour
Emergency Family,Westminster,Families,,Updated: about 9 hours ago,,,,
Shelter,,,,,,,,
 address hidden,,,,,,,,
 604-525-3929,,,,,,,,
Elizabeth Gurney,New,"Women,",19+,Full,,24 hr,,24 Hour
House,Westminster,Women with children,,Updated: about 1 hour ago,,,,
 address hidden,,,,,,,,
 604-524-0710,,,,,,,,
North Shore Youth,North,Any gender,14 - 18,Any: 4,,24 hr; curfew 10:00PM,none,24 Hour
Safe House,Vancouver,,,Updated: about 1 hour ago,,,,
 address hidden,,,,,,,,
 604-924-8005,,,,,,,,
North Shore Housing,North,Any gender,19+,Full,,24 hour intake,none,Extreme
Centre - Shelter,Vancouver,,,Updated: about 1 hour ago,,,,Weather
 705 2nd Street,,,,,,,,
 604-982-9126,,,,,,,,
Name & Info ,City ,Gender ,Age ,Beds ,Note,Intake Info,Services,Categorie
,,/Families,Range,Available,,,,
Richmond House,Richmond,Any gender,19+,Full,,24 hr,,24 Hour
 12040 Horseshoe,,,,Updated: about 1 hour ago,,,,
Way,,,,,,,,
 604-276-2490,,,,,,,,
Gateway Shelter,Surrey,Any gender,19+,Full,,24 hr,,24 Hour
 10667 135A Street,,,,Updated: about 1 hour ago,,,,
 604-589-7777,,,,,,,,
Bill Reid Place,Surrey,Any gender,19+,Full,,24 hr. May be able to accommodate couples.,,24 Hour
(Hyland House,,,,Updated: about 1 hour ago,,,,
Cloverdale),,,,,,,,
 17752 Colebrook,,,,,,,,
Road,,,,,,,,
 604-574-4341,,,,,,,,
Rosewood Shelter E. Fry Society,Surrey,"Women,",19+,Full,,24 hr. Low barrier.,,24 Hour
 address hidden,,Women with children,,Updated: about 1 hour ago,,,,
 604-589-5337,,,,,,,,
Guildford Shelter,Surrey,Any gender,19+,Full,,24 hr; couples ok.,,24 Hour
 14716 104th Avenue,,,,Updated: about 9 hours ago,,,,
 778-293-0889,,,,,,,,
Hyland House,Surrey,Any gender,19+,Full,,24 hr; best to try in AM or after 10PM curfew. Not able to accommodate couples.,,24 Hour
 6595 King George,,,,Updated: about 1 hour ago,,,,
Boulevard,,,,,,,,
 604-599-8900,,,,,,,,
